"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",708.602169691234,0.381253982523016,0.100654411872792,3.78775232430793,0.000152016273205608,0.00128291766305323
"ENSG00000000419",520.297900552084,-0.206812601085035,0.112218646513043,-1.84294328537456,0.0653372915236616,0.196469846240543
"ENSG00000000457",237.163036796015,-0.0379204312050625,0.143444654936164,-0.264355832721253,0.791505741611408,0.911419622519723
"ENSG00000000460",57.9326331250967,0.0881681758714151,0.287141822930402,0.307054454734675,0.758801923973536,0.89500478306855
"ENSG00000000971",5817.35286765231,-0.426402126980445,0.0883133903780896,-4.8282839686589,1.37714621576878e-06,1.82050040467512e-05
"ENSG00000001036",1282.10638546592,0.241071223961221,0.0887206392502907,2.71719439803779,0.00658379249776337,0.032769826857652
"ENSG00000001084",609.892091906969,0.0476168958227215,0.166653902679777,0.285723256743748,0.775090090633777,0.902879791668529
"ENSG00000001167",369.342807845239,0.500364178766704,0.120879889326711,4.13935007347941,3.48291129104604e-05,0.000342176094013455
"ENSG00000001460",183.237674249271,0.123899300143007,0.17990121088162,0.688707427458821,0.491007401162778,0.723539254006782
"ENSG00000001461",2813.85122198422,0.04106626681588,0.102562402999851,0.400402736429057,0.688859909076489,0.856505026686785
"ENSG00000001497",539.8235458671,0.00404898188791604,0.106712162386812,0.0379430216514516,0.969733111411462,0.988326579639514
"ENSG00000001561",114.03778409508,-0.224943956422082,0.216577684615523,-1.03862942676394,0.298977114610844,0.548753381622998
"ENSG00000001617",598.668142741294,0.250237471017404,0.108280970610136,2.31100136623619,0.0208327794295922,0.0821187967102149
"ENSG00000001626",5.7649879371736,1.08723924594866,0.792115289266059,1.372577023423,0.169883878849878,0.386241984746638
"ENSG00000001629",1779.82871935893,0.226673575080465,0.08061962726999,2.81164255847214,0.0049289243398423,0.0258479233656212
"ENSG00000001630",54.7277288861649,-0.0126110783755813,0.312532850220207,-0.0403512090543302,0.967813128074571,0.987337809479866
"ENSG00000001631",785.453250774629,0.0366893134718095,0.103232215819091,0.355405656855273,0.722285711582622,0.875960419418165
"ENSG00000002016",183.860422539257,0.310532644526852,0.159944192585091,1.94150621856213,0.0521969058825786,0.166280737304155
"ENSG00000002330",178.056714274042,-0.0889955371801275,0.155077334366594,-0.573878430033798,0.566050070365986,0.778281741311825
"ENSG00000002549",1253.63083632383,-0.186657361040615,0.105812166761482,-1.7640444076849,0.077724502923417,0.221970867172871
"ENSG00000002586",8285.42119089887,-0.0897506640456995,0.0804356698705137,-1.11580675824769,0.264504860319824,0.510295669165492
"ENSG00000002745",6.89982616366639,0.269494227707708,0.777539077327356,0.346598949899784,0.728892634926014,0.87912092483412
"ENSG00000002746",108.442359160607,-0.10243963759496,0.199016881679076,-0.514728382490431,0.606742837097115,0.806692181140482
"ENSG00000002822",349.807740878471,0.160215989367734,0.132463125002082,1.20951388822524,0.226465478710303,0.462479314904482
"ENSG00000002834",7168.82575403564,-0.396642526902904,0.0929191771308802,-4.26868316261796,1.9663033079716e-05,0.000206944234830796
"ENSG00000002919",250.508248733712,-0.40438977555767,0.140172306603138,-2.88494771440551,0.00391478673230987,0.0212587785843156
"ENSG00000002933",540.269559761662,-0.361036270272021,0.146415202118931,-2.46583869056682,0.0136692877422203,0.0588102661501649
"ENSG00000003056",1065.27029988478,0.0725649506730141,0.0921692312836277,0.787301246439972,0.431105540211426,0.674864400834206
"ENSG00000003096",377.977300973334,0.940978942137757,0.143800781518539,6.54362884680461,6.00437059592144e-11,1.5131013901722e-09
"ENSG00000003137",104.516320058985,0.896586408465717,0.29259240266185,3.06428465096513,0.00218191196848557,0.0129947852378826
"ENSG00000003249",116.350067230415,0.280162415503369,0.194618556215592,1.43954626399044,0.149995811971149,0.356405715428744
"ENSG00000003393",851.094610270363,-0.171901741601973,0.0957246501436426,-1.79579388740539,0.0725273032511277,0.211528908830933
"ENSG00000003400",80.1570525284788,0.408120710773862,0.227309793811903,1.7954383043943,0.0725838941856147,0.211594881547054
